sampleID,d15N,d13C
VIe0/2w3fNebVQKB2BjevtyqXOCdsnKT8hAEs+3C/Ng=,-4.5,-29.1
VIe0/2w3fNd/z2WoUObti5ZVAgsrdVZ/hHeH7OKvAxI=,-5.6,-28.5
VIe0/2w3fNd/z2WoUObti5ZVAgsrdVZ/hHeH7OKvAxI=,-5.6,-28.6
VIe0/2w3fNc33g5rmTd2pHq4VDDW2AUFc5Yg5mi4D1k=,-4,-30.2
VIe0/2w3fNcalzjkVwBhmldGEhUSkkljwAkHGnBLeDU=,-0.8,-28.4
VIe0/2w3fNcalzjkVwBhmsWNSJ0H6/lCOXw14m2mbvw=,-1.3,-28.4
VIe0/2w3fNcalzjkVwBhmg1MmhmwySLj5mT3KSE11uo=,-0.9,-26.5
VIe0/2w3fNcalzjkVwBhmg1MmhmwySLj5mT3KSE11uo=,-1,-26.6
VIe0/2w3fNeiYDd1kvOxg66bfSAZVSGo8BLiyROlYQw=,-1.3,-27.5
VIe0/2w3fNdC6482kBzsU+ZXDvTcBmXpcxcMuwwiLjc=,-5.3,-26.1
VIe0/2w3fNcNrKRjyzmNZh0ikrU4TDTxOZJ/R4N1T8g=,-4.2,-27.8
VIe0/2w3fNfxmlWt9NRGm4zZmHkOrqOnv3sKGslRn+s=,-0.3,-28.1
VIe0/2w3fNfxmlWt9NRGm4zZmHkOrqOnv3sKGslRn+s=,-0.3,-28.1
VIe0/2w3fNd94NzJ1ldmPvO/rfvxTdRR90xtbj4w4Go=,-0.9,-29.9
VIe0/2w3fNdw57HdUJ7YL8y6o5N9MN7OHNdhjlaZOp0=,-1.9,-29.4
VIe0/2w3fNfkpyROGrcCGN/B52ltoaK5OoK0qtPoR2o=,0.4,-28
VIe0/2w3fNdOqIczM0wx5vfpcF4tFLybGsHm0906xWk=,-2.8,-28.2
VIe0/2w3fNfkpyROGrcCGPtCR19whAUEbHnv++zRu/I=,0.3,-27.7
VIe0/2w3fNcn3zJhSf83pVhdTs3/Fuw0wCSb+sp0z98=,-4.5,-28.8
VIe0/2w3fNf39i0uHMFdmaeaCqh5sYXhZumlpdA2UH4=,-0.4,-30.3
VIe0/2w3fNcn3zJhSf83pVVxpG6jk1EcOoeAHmkKomg=,-4.5,-27.6
VIe0/2w3fNdp78ByyJA8EAivT6mVK4BIvRLpY5y8l9c=,-3.9,-25.5
VIe0/2w3fNdGg8ZdiqmQlCp6yf9Pjzzg0f8d4lnTIVI=,0.3,-27.5
