sampleID,d15N,d13C
njZEDkTA4mhSgYo6Ispo/+wm2QqCMyjIwgQhpNfyK0k=,-1.9,-29.3
njZEDkTA4mjRs6rw/tqfQrsycEHIOS06GZYymlMz4Ng=,-4.9,-30.3
njZEDkTA4mjRs6rw/tqfQjEUL/lUbiPpO270Dwr8qbI=,-5.8,-31.1
njZEDkTA4mgheRG5xpV4KhBLjPaOVb3QRxFs/QPRWXk=,-2.8,-30.4
njZEDkTA4mjM8NaA5tPYPfIlPRzbOoiPURsnDbqK3bo=,-1.6,-27.5
njZEDkTA4mjM8NaA5tPYPTLeca1Mq+PzxxOKRi4CuWA=,-2.4,-29.8
njZEDkTA4mjM8NaA5tPYPaQ7DDpwljfAx1IeI64tYbU=,-1.6,-29.4
njZEDkTA4mi2wT7cGdhmi5Lr4Z1iZftb/3tUYPPiG1s=,-4.7,-30.6
njZEDkTA4mhSkwoOwiHBfi3eADDSK5dn2593+eGblCA=,-3.6,-30.2
njZEDkTA4miyJmItRR7bb7aiJUAknLgxEH5ZLS2fNts=,-4,-27.7
njZEDkTA4miMFdcBeh0bEOgw31WI67a7yHvkNb4kF7g=,-3.8,-31.5
njZEDkTA4miVPiZgajsajJyGU2VGb4wd83wgTn1x/fk=,-5.6,-28.6
njZEDkTA4miMFdcBeh0bEOqlK9WNlal4RGubN/vzi2w=,-4.1,-30.4
njZEDkTA4miMFdcBeh0bEOqlK9WNlal4RGubN/vzi2w=,-4.1,-30.3
njZEDkTA4mhD9kQrWDZIDvJvaLn77OC7SBzRm0z+5K4=,0.2,-28.2
njZEDkTA4mhD9kQrWDZIDrGPgXD9DL+LpOToDDpR1pU=,-2,-29.8
njZEDkTA4mhTZe2wh2y3jx++gacbnFugxvjdpiPqzvI=,-3.1,-29.6
gv/1/Di3XvFTqEI7hs3lyU6EUYKptnufiYcmBMGcKtM=,-3,-28
gv/1/Di3XvHs3TiUgQrYnylvV/FrlVzvg2kcspFw1bw=,-4,-28.7
gv/1/Di3XvGwPyjkavET/K7FvPj0qjUQYGzjC3Kk2MA=,-2,-28.1
gv/1/Di3XvGwPyjkavET/OtGBjnV7ZW8FYSc6il2NZA=,-1.7,-27.2
gv/1/Di3XvEZ32fKrFrcU8wetWGgE6zT0F6OY71J6HU=,-1.7,-27.8
gv/1/Di3XvHFA0Y+9+F4I7qfOIUNfjfxi/Hn7wGjyQg=,-2.6,-29
gv/1/Di3XvEJrFEmNh8BI0ZK2sqPOPYFrhBSRC5YC8s=,-2.6,-28.7
gv/1/Di3XvFIAAmccByPPzLrCbRZO/U55h9TSSDCP3A=,-2.5,-27.8
gv/1/Di3XvHdPsxwxTV2La8MDi4DOgmIxQ48I4EIoJ0=,-2.4,-28.1
gv/1/Di3XvG/XeKiDq533uNglmG8SbKPUanvIM72QHg=,-2.5,-27.7
gv/1/Di3XvFqdJpFZdQ75VR4GtLQwkBqpjPJI36iV0E=,-2.7,-28.3
gv/1/Di3XvH43usIH9/MyGpoLUN1vmKwyNhPYIONB68=,-3,-28.2
gv/1/Di3XvE8vLvbZ0C+NZd/S/k+JT5Gw4vmDjX9vQ0=,-3.3,-28.9
gv/1/Di3XvE8vLvbZ0C+NZd/S/k+JT5Gw4vmDjX9vQ0=,-3.2,-28.9
gv/1/Di3XvGn0b286CZVHHZ1Rg3E13Vvgls/7NeCIKw=,-3.8,-29.2
gv/1/Di3XvEr5UL7fnWRP65dCrIiiByh0iOS8q3daxM=,-2,-28.3
gv/1/Di3XvGiGQlUFc+uCU+P8T5wjxhbwZd+UbiTwic=,-1.2,-28.5
gv/1/Di3XvGiGQlUFc+uCZpbk98VpY36w3dAjRxIEzw=,-2.2,-29.2
gv/1/Di3XvGiGQlUFc+uCYKAYxBJv7Y7ka4dF6yMvDg=,-1.4,-27.7
gv/1/Di3XvFGUoPnUGsFYIPb8/i7ah2RmgjxFl7aJww=,-2.6,-28.5
gv/1/Di3XvFGUoPnUGsFYFaOXc2fXj14FXdAcEeJdnQ=,-3,-28.6
gv/1/Di3XvFGUoPnUGsFYFaOXc2fXj14FXdAcEeJdnQ=,-3,-28.6
gv/1/Di3XvFQkGvmBfP/Xnm8lu17YBlu2SPPf9zCw+s=,-3.5,-28.2
gv/1/Di3XvGuZzx1FjU753RDy4OIxozxiqsfMBMELV8=,-3.1,-25.3
gv/1/Di3XvGuZzx1FjU753RDy4OIxozxiqsfMBMELV8=,-3,-25.2
gv/1/Di3XvElQjB9PeqBBLohiUb1X/dR4cp/wp6LXFs=,-2.5,-29.3
gv/1/Di3XvFzGlWy8/wE3ilG4PQuaho2hAC4JdvA/Fk=,-2.6,-27.4
gv/1/Di3XvFmJEE349yKH3RiArYnImHZrP8woNT2Txk=,-0.9,-31.3
gv/1/Di3XvFmJEE349yKH5i7cabi61zSKmqxprSDlMg=,-1.4,-30.5
gv/1/Di3XvFmJEE349yKH4SporpX+KfUkGAzZFDbusY=,-1.4,-30.1
gv/1/Di3XvEsS/ifmYVa1vtSSZDKqecxWOh7kCWb+h0=,-2.6,-27.7
gv/1/Di3XvGQrtxvgZITVO6hYlYuZLx8r7g8CyuAmZg=,-1.3,-26
gv/1/Di3XvFD3Izr4ImFs8zUfeIhClwY/z2dTBo+AKU=,-1.9,-29.4
gv/1/Di3XvHW5/4uHYOlmUBFRWwoYmpLZaNyYO1O7Jk=,-1,-29.3
gv/1/Di3XvHehpWEgxlzdNrpvifZbD0S0/rg/gndvPI=,0.8,-28.1
gv/1/Di3XvHehpWEgxlzdG2sOQ6SoM+chK+EhrGMf34=,0.6,-27.3
gv/1/Di3XvFHQUg03G1z8aiepKG3SBeboaMOYV0/J6E=,-2.1,-28.8
gv/1/Di3XvGK91WgTxBVo5F5JuaX6eseM3/Tlqd7008=,-3,-30.6
gv/1/Di3XvGK91WgTxBVo+nMQa7ZsC4f20gN9hBtLuo=,-3,-29.2
gv/1/Di3XvFEKANMBQRw0h94UiIlL3Z52k2gRUEs5/M=,-2.8,-30
gv/1/Di3XvHRDXUacuknY/bk8T+lluwbCiYyNxLIGpk=,-0.6,-26.7
gv/1/Di3XvG2yNIafHW7IJmGdyYS6Eb6OWpJf9ilKGI=,-0.7,-27.4
gv/1/Di3XvF3cnDy5BBtPvW1F/VSnN/aCjtRIg6gfYM=,-0.9,-29.7
gv/1/Di3XvEFzcDzDUTjHBJMFIYYdhZqvdz2e0WFhIM=,-1.5,-29.7
gv/1/Di3XvFpXTGDRuAs1IJyD6pGKMzUEEVvcHvNfWE=,0.4,-27.6
vOIarzMvGliNNzm9ifDC1aa/yi8YJUn22hOgQoMdsIk=,-2,-30.7
vOIarzMvGlihlAl4Y1Jx7nJQxVPnZBYBcSkcfkz/KNo=,-2.5,-28.1
vOIarzMvGlihlAl4Y1Jx7n9fTRgE1yyjjXk5R9g6+b8=,-2.3,-28.3
vOIarzMvGlhNFVsyuB6syMmejHjFUMaH0eH3rw1ev1E=,-2.8,-29.3
vOIarzMvGlhqK3k6dWTmIXyqn4LL85wbS5oDivfcQjc=,-3.5,-29
vOIarzMvGlhqK3k6dWTmIVGbSPKYwsroPinklfZEkVk=,-3.4,-30.2
vOIarzMvGljH1+IHC4k14UAwR/DUDLqWV+H3sBwbMoY=,-2.1,-30
vOIarzMvGljU9FFbmwQqfoUpqRSzIrDXLLNPE7i4ed8=,-3.7,-27.6
vOIarzMvGlh7NBdJ8CKuDESeHUVxBcoKv6xCwFl2r+A=,-4.8,-28.7
vOIarzMvGlidirXgNn33ctWEBpp1rvzJ8l+8JdgMseI=,-4,-28.5
vOIarzMvGlhI3KzzmOhSnwNtDJYgiaIT+4zbT/RyHoE=,-1.5,-29.5
vOIarzMvGlhfDoDennRS0gTndWSSz+YxoY0wM9EKVEo=,-5.1,-29.9
vOIarzMvGlhXIwkEjtsUnItxLgmqN2m+nZxthwufT4A=,-4.7,-28.4
vOIarzMvGlhXIwkEjtsUnOKOBCfkBksWGjr/SHhGtbU=,-4.5,-27.6
vOIarzMvGlhXIwkEjtsUnEFgJb6NzQN/OfeBjFoa0uQ=,-4.3,-27.5
vOIarzMvGliccYFTJ7MmljRqLGra8aMqZLRrQeqS9vg=,-4.1,-29.9
vOIarzMvGliccYFTJ7MmlvA66TAGfRvfGxvTwjcJO8A=,-4.5,-29.6
vOIarzMvGliccYFTJ7MmlpQQcTmml1ahuUESrECJrG4=,-3.2,-31.2
vOIarzMvGliccYFTJ7MmlpQQcTmml1ahuUESrECJrG4=,-3.4,-31.2
vOIarzMvGlhI3KzzmOhSn1P7I0gk79Zdv/KiM2o4WXE=,-1.6,-29.6
vOIarzMvGli8zNAdKFHvRKtJADwWciG9YR45iLylBIE=,-3.6,-29.6
vOIarzMvGli8zNAdKFHvRPr36zWwFMXdxEbRy5r0v+8=,-2.4,-30.9
vOIarzMvGlgbyQZJ28HP5qzgrVcFMU3SV4MetFO1iIk=,-1.5,-31.2
vOIarzMvGliqMbQvpYpQYWdxE+5uHt8YjgaRl+yE8YA=,-2.7,-30.3
vOIarzMvGlgVh3zv/lSuIjrwCQvsfUmDWrp9RyrEnok=,-2,-30.3
vOIarzMvGljGGYBt1c0XnJMuIn+DLfaCf9lHpfUtlkg=,-1.6,-30.9
vOIarzMvGlhGRCWNBhhlUndOR4++kjo/RByppRh4nc8=,-2.1,-29.9
vOIarzMvGlgGYsjowt2fihK2TlKWC6gxYSqtpOQgn5E=,-2.7,-29.5
vOIarzMvGlg04p2XhkcV4ubzj+23LgYTQ51SpDwliJE=,-2.3,-29.3
vOIarzMvGliaklg0KdNYHhYvHmy1htez+MX+VsYoX0w=,-4.1,-29.2
vOIarzMvGlggtSAtpZokAazdbIV1gXuSaipiyRxuVpk=,-4.7,-28.9
vOIarzMvGlgA+4h+hI6kSYY7FX/QKGOy3ZD6elNJ5DA=,-4,-30
vOIarzMvGlgxc1J/YgiHbyg39cAsBSa2S/DZ1N1BBeM=,-4.2,-29.3
vOIarzMvGljqcaHti5RX4MbD/aC8cxeX0y7VDTdttVI=,-3.2,-29.4
vOIarzMvGli/jyfR0JsN+CRGHbHCa4khccNCOHiqvak=,-3.1,-29.3
vOIarzMvGlgUL6X8nUTHVzoVORji2FLFYo34UlxWR9w=,-4.7,-29.8
vOIarzMvGliqgT8LShYclzhzbztLvcGmiYyWpzEv+Vs=,-3.8,-28.3
vOIarzMvGliaklg0KdNYHoMZLjy5/S73MbiMx4xHshA=,-4.2,-28.9
vOIarzMvGlgAlbr1qwG85cbrlx+iaqNMqDE0blr86UU=,-4.2,-29
vOIarzMvGliwbC+EobvpkTosJSgXlPFVYXPJ345mvls=,-2.8,-28.2
vOIarzMvGlgxOaVJyQsDKzwAJs1YhXkUcaTjtKPcrIs=,-3.5,-30.6
vOIarzMvGlgxOaVJyQsDKzwAJs1YhXkUcaTjtKPcrIs=,-3.4,-30.6
jmTOfpHQ+Zu6wELocwde+/e4kF0nGU+nmQtv5AD+dGE=,4.5,-26.4
jmTOfpHQ+Zs4NEObMcDzaIoO8CfwakDsmkZxSxwNdgA=,4,-29.1
jmTOfpHQ+ZvOX2S8lAccGJa18svFuxN01YsjwkiC7dg=,4.1,-27.9
jmTOfpHQ+ZsC6pxjw40+2QROAm+wKVDo3IJ0O65Cozo=,3.7,-26.7
jmTOfpHQ+Ztml3RyqHAM47/kc4bIqcXHVBsYAVP+djA=,4.7,-28
jmTOfpHQ+Ztml3RyqHAM4zkaZGsMbcD9NbqY+hoW6XU=,4.8,-28.7
jmTOfpHQ+ZujS97ycDDHCeDyKa+NA8/B8fBKwrsjba4=,4,-28.5
jmTOfpHQ+ZujS97ycDDHCRr6ASzhDgigxldA8k0Ey64=,3.7,-27.5
jmTOfpHQ+ZsZiNJZ+ry4Tg3iRxQW9Fte1dNlh4YbNOU=,3.8,-28
jmTOfpHQ+Zt2bvUWjRF9Xpj6WgYC3yen/bXvZZuzsN0=,0.8,-31
jmTOfpHQ+ZsGk4OODq6BqkGdtQOgMiJWjSJxCk5Z8ps=,-0.4,-28.6
jmTOfpHQ+Zt0x+TEWDGkLRJrf/WzHMuDBsNTMsnFqps=,2.2,-28.1
jmTOfpHQ+ZsZMjJ+IBWsbRvFmYm1hO1J1tDtfAKAgPM=,1.7,-28.1
jmTOfpHQ+ZsZMjJ+IBWsbRvFmYm1hO1J1tDtfAKAgPM=,1.7,-28
jmTOfpHQ+ZtF6/ER24Aek3DXLf9pG2Cvz3xw95hmPDk=,2.5,-31
jmTOfpHQ+ZsZMjJ+IBWsbWMUZZWtI1HZxMr3IcHkPKU=,1.3,-29.5
jmTOfpHQ+ZvRAXq72i02G0RXVXFHpQVhdatGKlsB3Oc=,1,-29.3
jmTOfpHQ+ZvRAXq72i02G7YjWbh0/3KhgzlbiozSO/A=,0.7,-28.4
jmTOfpHQ+ZvRE8fwY+qiR6/7GF7acZ5DFKbf4swOhB0=,0.6,-30.1
jmTOfpHQ+ZuD7DuvLcKVc/1VgjgdC1KO0P5JSX0cvQY=,1.4,-27.1
jmTOfpHQ+ZttOXF8LzuQVdFotMwbuf4r1G7GYptgTLE=,2.7,-29.8
jmTOfpHQ+ZtNTZjs21STxVgIN+md4HfSCulb34hdZC4=,5.4,-29.8
jmTOfpHQ+ZsCSA2uuyjAWCGEpom5WtPrzGW1sKge0fs=,2.5,-28.8
jmTOfpHQ+ZsCSA2uuyjAWCGEpom5WtPrzGW1sKge0fs=,2.5,-28.7
jmTOfpHQ+Zs0U8A3Bxm5r02i8gNnQQB0B9XHi54eqGo=,2.7,-29
jmTOfpHQ+ZvN4Ah30O6EPPm/rFdIPnm1PhMP1vSqZpE=,2.6,-31.5
jmTOfpHQ+ZthGyV09AHY9uCNnNTjQnMceZ320+Fmcwk=,3.1,-31.6
jmTOfpHQ+Zt6E43sjfdM78457RTgshDXeCz+ZvS6xGI=,1.7,-29.2
jmTOfpHQ+Zt6E43sjfdM7/K6oyuf6wUYfMG2Q62BwxE=,-0.3,-28
jmTOfpHQ+Zu0u/oXwnPihXIZAg1bnCmza9yUoBdPbk0=,-1.1,-28.6
jmTOfpHQ+ZsgIjag6hsyJhKyUKh5lckYk0mn75GAjKQ=,0.6,-29.6
jmTOfpHQ+ZthBTYF6lnCHeY3fZ7NuNHpdbYdgNj4ihM=,1.7,-30.3
jmTOfpHQ+ZthBTYF6lnCHeY3fZ7NuNHpdbYdgNj4ihM=,1.7,-30.3
jmTOfpHQ+Zt5OT/G06Pds9Z4ITHmVvdgo0UdUFMGBLA=,2.6,-26.7
jmTOfpHQ+Zty0lbBchDNAv+Px7cFenVNiBt2JYFVfMM=,-0.1,-30.1
jmTOfpHQ+ZttpAhTtR0rIm4ydM96AJdQItyiYWRSehM=,3.2,-31.6
jmTOfpHQ+Zvflz1+5teZsz3QjCsYe3d6fH3VP435csU=,4.8,-29.3
jmTOfpHQ+Zsa/2ZyiXAEzKjAoUjWewLClqEZAIJm3tg=,5.8,-28.3
jmTOfpHQ+Zsa/2ZyiXAEzNxEe17Q7Qk5q+5hKdrc7fM=,5.2,-29.2
jmTOfpHQ+ZtcEv1E4YSQAIXIsX7seyVSn+2tv/wN804=,3.1,-30
jmTOfpHQ+ZsW2lanyum3N+zzXF2yyvfy2CyUlaGoyuY=,0.3,-28.2
jmTOfpHQ+ZvavLb238g3up/qRXakXwLeLpuV1+Il2NY=,-0.6,-26.5
jmTOfpHQ+ZtEoWPy3lPVIzQTvQUq9y/gLM1Ik9Ji9lI=,0.4,-31.2
jmTOfpHQ+ZsmkWiGUrIhELLrT/zX0JY9UKqJffL8RdI=,-0.5,-31.1
jmTOfpHQ+Zs+bBY+IN+U7cTlrwnw+kJXL4S8bIkZLrA=,1.5,-30.5
8YsBtW+LzBassxoNPqOCfsP6SnXsMbtCJQxYJTchQCM=,-3.2,-28.8
8YsBtW+LzBYzk8iY5xZI+Azf0kOAAgikXW6N+AMlUNk=,-3.5,-27.5
8YsBtW+LzBbAWUjQ/Py/wXylj2i3a6ewjwi9J3xqT8w=,-2.4,-30.1
8YsBtW+LzBaBNRgmmnlcAtcJtSFF5t0JRNiFpuGWGag=,-3,-29.4
8YsBtW+LzBaBNRgmmnlcAtcJtSFF5t0JRNiFpuGWGag=,-3,-29.4
8YsBtW+LzBZIhqe20cuOavAv4ImZl4kQ0FAUnD62NHI=,-2.6,-28
8YsBtW+LzBassxoNPqOCfmqlBFQbOIaEsDYm/J6Hb+A=,-3.8,-30.4
8YsBtW+LzBYUtrl3C55a8MkOztb7It+BuskThdGIzu8=,-5.5,-27.9
8YsBtW+LzBalX5oNx5Y8h6FP+rrxc8yb0wjqxGwntTM=,-3.3,-31.3
8YsBtW+LzBZk7IIQRxP4MKSGoPYPQ+jDJuC6zTEw/Jk=,-5.8,-28.2
8YsBtW+LzBZkoqqz3jse/LJxa0R2vLFj75RqYdHCkpI=,-4,-29.9
8YsBtW+LzBaumRUTuUa2OOQteI6cAchRNPcVzjuJ9iw=,-2.4,-30.1
8YsBtW+LzBZIcn582PMpH6I41CmT/G3X1nUEq2NGE98=,-3.7,-28.1
8YsBtW+LzBa4bqYOE8l8PKOG6JWOVejQ6jtB3auPH2I=,-3,-29.3
8YsBtW+LzBa4bqYOE8l8PKOG6JWOVejQ6jtB3auPH2I=,-3,-29.3
8YsBtW+LzBanOM6nPxgKM/5eFEOWOUdtvdruu1PyCRI=,-4.6,-29
8YsBtW+LzBZoC/dzSdnAZgq/QwKOBjpLQ0QosHXH3RY=,-2.1,-28.7
8YsBtW+LzBboROEjlsJZMKV8FVNrP+Mrvb+V9wz2Giw=,-3.3,-28.4
8YsBtW+LzBZoC/dzSdnAZnyBFjkM9ZUusW9rG70uS4g=,-3.2,-28.8
8YsBtW+LzBZoC/dzSdnAZtuokiVPhwr6JNPqUyDXSd8=,-5.7,-29.2
8YsBtW+LzBYBYnfepUqqs+rdfHyJssOjZLqXLNzw4+I=,-3.9,-29.3
8YsBtW+LzBYBYnfepUqqs06Bxhj4+adaLgqb5N4p0+g=,-6,-29.6
8YsBtW+LzBbZU6Zj0MjQkLSHNRx9gjMYpJP8hwT3vKg=,-3.6,-30.5
8YsBtW+LzBaQ0JG/YjGQXWa0LLhU/PQbmss51czB4eI=,-2,-28.5
8YsBtW+LzBaQ0JG/YjGQXWa0LLhU/PQbmss51czB4eI=,-2,-28.4
8YsBtW+LzBZ3GiG891H0j0ugWM2GcaLhCCdh9h1cPIs=,-3.4,-27.2
8YsBtW+LzBZ3GiG891H0j/SG0HQeZsS/BKLVWWk/5zU=,-0.9,-27.8
8YsBtW+LzBa+g+bV8jyHnnF3zuLbFzIxRiqSW3MNAjA=,-4.4,-29.9
8YsBtW+LzBarmyPXj2p36TEqS4grP2lMzdHKTfltXWk=,-4.2,-32.1
8YsBtW+LzBa4Jrx76Su1MKhWFH7r1cgzNQ4wHLLe5r0=,-4,-31.3
8YsBtW+LzBaw+Vou2Ne0ziiKT3sh5As+UgWJGejY4Mg=,-2.8,-30.7
8YsBtW+LzBaw+Vou2Ne0zhP6Vh3CibOOjaKJ7s6H9Xk=,-2.1,-30.4
8YsBtW+LzBY5k6dHh5HSWsN9G8ZmMR15XvFAgaStn5s=,-4.8,-28.8
8YsBtW+LzBbzNnpsjyZuYPZpNluJsgBLQG32p6Si7UY=,-5.4,-30.7
8YsBtW+LzBaere+XsE42kwpqDVIKcVh4kxUYMNvXUdM=,-5.3,-29.6
8YsBtW+LzBaere+XsE42kwpqDVIKcVh4kxUYMNvXUdM=,-5,-29.5
8YsBtW+LzBaere+XsE42kxN8xKzPF2IYkjVQYk7bJ4g=,-7,-28.4
8YsBtW+LzBb6ybUeRQ+qMZiOLK6D+FBhJh3D1UnpD8c=,-2.8,-28.5
8YsBtW+LzBZV0iGplBv6sJJCqYV5ZcINt934npZ4d3I=,-2.2,-28.8
8YsBtW+LzBZV0iGplBv6sC1NeaAq38tlzZ/HsE7sSEc=,-4.5,-28.2
8YsBtW+LzBaQ7O+R2ZAqFV8+AcgK4/RCsIQM8EXIKK8=,-0.7,-30.6
8YsBtW+LzBbGKNGIqrsupt9og6Jj+7oZYBE2yxTwgA8=,-4.1,-29.6
8YsBtW+LzBbGKNGIqrsupjZObgpMMq2lo7SewIarDBU=,-2.3,-29.2
8YsBtW+LzBZgU626mfJPgQx4+Z746t5oiig8MAL1n8Y=,-3.3,-29.4
8YsBtW+LzBY4UA7K5P8oFrFyEYB5k/RVGZJzeQ656xc=,-3.6,-30.2
8YsBtW+LzBZgU626mfJPgWec1/7WFC24EA+8PEUBrrg=,-2,-30.3
xZ/4LGAq2g5RAbC90CFX05C/iONIwkH2V5OYKgGohSc=,0.6,-26.7
xZ/4LGAq2g5NM+G6kbU3sw96yUdUfvrt82PnLRxK9Pg=,-1.8,-16.4
xZ/4LGAq2g625hRtYPCK3nFi3gGfPNepkwWPNpIfYFs=,-0.4,-25.4
xZ/4LGAq2g7s0BFr7jQjhrHnd3mW1OXxTX6YMO8XwPw=,2.9,-27.8
xZ/4LGAq2g67m1KX+4fS/U/0naalVs0/l+KfaPe5Wjo=,0.8,-26
xZ/4LGAq2g4AJlIzew7Wf/XwxWTru/tQ6ZjM6mutTUM=,-2.1,-26.1
xZ/4LGAq2g4AJlIzew7Wf/XwxWTru/tQ6ZjM6mutTUM=,-1.9,-26.1
xZ/4LGAq2g5Rur2MuF0BDdvtUvI2rTmpGu++T/p6/ws=,0.6,-26.6
xZ/4LGAq2g6CJ8QaAy8llpSgItxwBWxDm1rOJ4cSVMo=,6.2,-27.9
xZ/4LGAq2g6obzXPzJjcva8hhqvo4PiSfXYArcdTIMY=,-2.1,-18.7
xZ/4LGAq2g6Tiw5iTs+UINI2H1BeT5B+LYqXCEoT9N4=,2.8,-27.5
xZ/4LGAq2g63XXbJ/Ii4dHcg0n0X2zu/zdKkjj1cjw0=,-0.5,-26.7
xZ/4LGAq2g7nI++B8hJ/ggdLF5QTx8J+vIUHMLMZkWw=,-1.4,-27.8
xZ/4LGAq2g6TUwymTuahBndw9PBe2/9da5OreM0Y9xQ=,3,-27.9
xZ/4LGAq2g5ElX3sDmMFmefRCJQqchVSZ5Z6afiNww8=,2.8,-29
xZ/4LGAq2g6Qj6dihqFckCd5WSebmQ+FKoAnT/HohM8=,-1.7,-26.9
xZ/4LGAq2g6QiY+I5gtun3dYjebp/p8RDSHmr3NJdIE=,2.8,-28.2
xZ/4LGAq2g7M7/vSyUFd04WP3d3hJV0C8i0fVj82+8A=,0,-27.1
xZ/4LGAq2g5ZG/Idao9B4YBFui1U5X9FD+PEX1XY0Wc=,4.1,-27.5
xZ/4LGAq2g62z+5tzOwCpYBtRXM3dEnBr2V2RNwLeqo=,0.2,-27.1
xZ/4LGAq2g5beUPdIU14aIJFb2LGeja8hJsv3Ic1nN4=,4.2,-27.4
5NSA7+zQmwmq3PzMF3tvNou9DNJOAwNDpHfUJCFUwUU=,5.3,-14.2
5NSA7+zQmwldJrBHkMEqRhpWBxoRRuWugRVW9kCQeEM=,4.7,-13.9
5NSA7+zQmwkfKAitIJGEGKMwoM4EzIUO8ad81jR9BYI=,5.3,-13.8
5NSA7+zQmwnT0mEu3GquvsZ6CougIlREgcIdQX2AuvU=,3.6,-14.7
5NSA7+zQmwmZb0Blc0RH07RIzKwRjIbthXNthRNqSfE=,2.7,-28.6
5NSA7+zQmwngghHiif86VyBFcqFEtYYyv2ciTlnKq8o=,1.9,-28.3
5NSA7+zQmwmmpvTkFPxGzLJMaWO9/+feqD8WSwgFMug=,4.8,-15.7
5NSA7+zQmwkZurTm+o8jt7sjBXYpsMJGd1RGt29RARU=,1.2,-27
5NSA7+zQmwkZurTm+o8jt7sjBXYpsMJGd1RGt29RARU=,2.1,-26.9
5NSA7+zQmwnmHlDFEtR3NtY2hI4WPo9Fo8DcfG0MqSI=,4.2,-20.4
5NSA7+zQmwn9hZ7i/Ee93BhR0VxhewiLKlO+DrK19lo=,1.5,-28
5NSA7+zQmwlQog/R+CrCTVKdgFMt81J9PRm9Uz/Vq7o=,4.1,-27.3
5NSA7+zQmwnsu5pQmxngFT8m+5ezdJHMKzrHqvIwEpI=,3.2,-26.9
FMBHGf4LMboW9PoMfswyJtey74Ct7ntB5aLPwrkMpFA=,-4.6,-17.2
FMBHGf4LMbqufCMWfCd4wOjEYtvX5Pd75RsjzdeLeRw=,-5.8,-13.6
FMBHGf4LMbrwg/VBYHBl+dSaY6eE05k4U2HZR+os47Y=,-5.7,-13.7
FMBHGf4LMbpwvXHpAloAWNJJVVcyzIRRyoaFysFjum4=,-3.3,-21.4
FMBHGf4LMbpwvXHpAloAWNJJVVcyzIRRyoaFysFjum4=,-3.2,-21.9
FMBHGf4LMbp2mvYrL99f5HcLdV3RW54Ey6u3nV3tWD0=,-5.1,-15.5
FMBHGf4LMboatoSdzBv+s9+z6HZ2HvKSbeWE66giZyc=,-7.3,-16.5
FMBHGf4LMbqm5MLVkNJ2OvEmf1NVFX3zDxhKyqWGwo0=,-1.2,-14.2
FMBHGf4LMbpho23rkrGWbhuioE2z4sCyUpACX4aFJ6c=,-2.7,-18.7
FMBHGf4LMbqK89AxLC8t93CTJ4kpALt6hUT66xZylTk=,-6.8,-15.1
FMBHGf4LMboiZ4lx6hHGbrpk7Zm2l3NZqKEmzzKjD6c=,-5.5,-17.9
FMBHGf4LMbr6rZ9B+eO74/V9wchSz1E/Fir/rLoFlQo=,-3.7,-27.7
FMBHGf4LMbr/iZqPA1nZwj12/U+uJPy8uo+P7eukSEA=,-6.2,-16.9
FMBHGf4LMbqjM3bSBZzLqRLf0iYOXKzfDSjw09Q7d7E=,-4.9,-18.3
FMBHGf4LMboVazvuHS4EOy660Fph+r0OXoITsqZPEtM=,-5.3,-20.5
FMBHGf4LMbooZn1DKnlvngqGud28fYwgclddzH+Q4II=,-1.3,-28
FMBHGf4LMbq2216RmjzNq+oCSHSaG4Bz2N7UakCsXb8=,-7,-15
FMBHGf4LMboliS5rWV7Zph1XL7YJaoKFb0bNUHq0ZH8=,-7,-15.1
FMBHGf4LMbrkRmoQDOb9F7imjdNKQBH+fmKg8vYJ0+0=,-4.7,-21.8
FMBHGf4LMbqGDrWwWFunGNAW8dzUn8v4mfWr02PrbCA=,-1.9,-16.7
FMBHGf4LMbpQ5b950gWNHerZmspoFsLK5M9tzxxJjj0=,-6.5,-16
S9R44vg6v28kwEsUGHI0enoXYCfg7RIL05vYOVi3TTg=,2,-15.7
S9R44vg6v2+IojQAoA3EV7FaCqM7nwPN744PJHKhhAQ=,2.1,-15.2
S9R44vg6v2+IojQAoA3EV7FaCqM7nwPN744PJHKhhAQ=,2.2,-15.3
S9R44vg6v2+pbBt1VnwnmZovHsx9Mz5wxzF9bGfySJI=,-4.7,-23.6
S9R44vg6v2+pbBt1Vnwnmfa1JJaWIQDYnwmGkrP5jK8=,-5.4,-24.7
S9R44vg6v28Ulz9XyZYlkYUtUIBo+Vkwc3uK7P8rImo=,-4.2,-24.4
S9R44vg6v2+upPaIqgO8BUIbj0jSV//6SNvuQx7vmgo=,-5.1,-24.7
S9R44vg6v2+upPaIqgO8BdVicv4OPtNmVYVFxxujZ4s=,-6.8,-24.8
S9R44vg6v2+rbr4HBpNCWCfM95HLN8uWQ9EecnX5HB8=,-3.3,-25.2
S9R44vg6v2/9NxS7VLe+v93SFNmWzzzlc7OsK94UnIc=,2.6,-25.8
S9R44vg6v2/9NxS7VLe+v65ryXHEK48zCYsY8PvrdS8=,1,-26.1
S9R44vg6v2/9NxS7VLe+v7/5M5ATASQl0NtemjEGIsI=,-0.1,-25.8
S9R44vg6v28f+Zts8A8BN+Exr3BnFsIB79W8iF9t0IU=,2,-15.4
S9R44vg6v29a3iYIcLakVBjap3adP+f7IHuLsgccAVE=,0.2,-15.5
S9R44vg6v29Az0sdlbKhGb3OfO6BV3ZT2YDmW4B2NYQ=,1.8,-16.3
