unique_id,site_id,utmZone,UTM_E,UTM_N,taxonID,elevation,Hgt,mass_per_area,fifteen_n,thirteen_c,total_n,total_c,longitude,latitude
A20-033,HARV,18N,731138.4494,4713948.702,TSCA,357.5,12.4,139,-3.5,-28.9,1.1,50.8,-72.1850906582962,42.5433625406691
A20-034,HARV,18N,731138.4494,4713948.702,BEAL2,357.5,18.57,64,-5.4,-27.7,1.7,48,-72.1850906582962,42.5433625406691
A22-166,HARV,18N,731138.4494,4713948.702,TSCA,357.5,16.24,146,-3.8,-27.9,1,50.4,-72.1850906582962,42.5433625406691
A22-176,HARV,18N,728961.4795,4701310.211,BEPO,178.9,1.2,63,-0.2,-28.3,1.9,50.5,-72.2166206259048,42.4303242946206
A22-177,HARV,18N,728961.4795,4701310.211,BEPO,178.9,0.6,50,0.1,-26.7,2.4,50.7,-72.2166206259048,42.4303242946206
A22-178,HARV,18N,728961.4795,4701310.211,BEPO,178.9,0.75,51,0,-28,1.9,51.3,-72.2166206259048,42.4303242946206
A22-179,HARV,18N,728961.4795,4701310.211,PRSE2,178.9,1.05,64,-1.6,-28,1.9,49.4,-72.2166206259048,42.4303242946206
A22-180,HARV,18N,728961.4795,4701310.211,PRSE2,178.9,0.65,56,-1.4,-28.6,1.7,49.9,-72.2166206259048,42.4303242946206
A22-181,HARV,18N,728961.4795,4701310.211,PRSE2,178.9,0.8,58,-1.6,-26.5,1.8,49.7,-72.2166206259048,42.4303242946206
A22-187,HARV,18N,728961.4795,4701310.211,SOCA,178.9,0.75,62,-2.2,-28.7,1.3,46.5,-72.2166206259048,42.4303242946206
A22-188,HARV,18N,728961.4795,4701310.211,SOCA,178.9,1,70,-2.3,-28.4,1.8,48.2,-72.2166206259048,42.4303242946206
A22-189,HARV,18N,728961.4795,4701310.211,SOCA,178.9,0.75,68,-2.8,-28.1,1.6,48.4,-72.2166206259048,42.4303242946206
A23-199,HARV,18N,728269.8734,4700506.017,SOCA,170.3,0.7,74,-2.1,-28.9,1.6,47.2,-72.2253378589638,42.4232939978102
A23-200,HARV,18N,728269.8734,4700506.017,SOCA,170.3,0.75,74,-0.6,-28,2,48.7,-72.2253378589638,42.4232939978102
A23-201,HARV,18N,728269.8734,4700506.017,SOCA,170.3,0.7,73,-1.9,-28.4,1.9,48.1,-72.2253378589638,42.4232939978102
A23-205,HARV,18N,728269.8734,4700506.017,PHHE,170.3,0.2,59,-0.5,-28.8,1.9,43.4,-72.2253378589638,42.4232939978102
A23-206,HARV,18N,728269.8734,4700506.017,PHHE,170.3,0.2,47,1.7,-28.4,1.9,43.1,-72.2253378589638,42.4232939978102
A23-207,HARV,18N,728269.8734,4700506.017,PHHE,170.3,0.2,56,-0.2,-28.9,1.9,42.9,-72.2253378589638,42.4232939978102
A23-208,HARV,18N,728269.8734,4700506.017,LOCO,170.3,0.2,56,-1.6,-29.6,2.9,44.8,-72.2253378589638,42.4232939978102
A23-209,HARV,18N,728269.8734,4700506.017,LOCO,170.3,0.2,51,-2.2,-29.9,2.9,45.1,-72.2253378589638,42.4232939978102
A23-210,HARV,18N,728269.8734,4700506.017,LOCO,170.3,0.18,61,-2.2,-29.1,3,44.6,-72.2253378589638,42.4232939978102
A31-108,HARV,18N,727146.9946,4704211.776,QURU,225.5,23.22,92,-3.5,-28.5,1.9,49.8,-72.2375061603947,42.4569585578549
A31-109,HARV,18N,727146.9946,4704211.776,BELE,225.5,23.13,45,-3.4,-30.1,2,49.5,-72.2375061603947,42.4569585578549
A31-110,HARV,18N,727146.9946,4704211.776,BELE,225.5,25.36,48,-2.9,-30.7,2.1,49.7,-72.2375061603947,42.4569585578549
A31-111,HARV,18N,727146.9946,4704211.776,QURU,225.5,24.58,89,-3.4,-27.7,2.2,50.2,-72.2375061603947,42.4569585578549
A31-112,HARV,18N,727146.9946,4704211.776,BELE,225.5,20.33,44,-2.9,-30.9,2.1,49.8,-72.2375061603947,42.4569585578549
A31-113,HARV,18N,727146.9946,4704211.776,QURU,225.5,27.63,93,-3.1,-28.4,2,49.9,-72.2375061603947,42.4569585578549
A31-114,HARV,18N,727146.9946,4704211.776,QURU,225.5,25.55,60,-3.3,-29.7,2.3,49.3,-72.2375061603947,42.4569585578549
A31-115,HARV,18N,727146.9946,4704211.776,BELE,225.5,20.9,42,-2.9,-30.8,2.2,49.1,-72.2375061603947,42.4569585578549
A31-116,HARV,18N,727146.9946,4704211.776,QURU,225.5,25.5,77,-3,-28.2,2.4,50,-72.2375061603947,42.4569585578549
A34-098,HARV,18N,728130.7904,4705927.059,QURU,273.6,25.5,74,-3.8,-28.9,2.1,51.9,-72.2248732273918,42.4720992641017
A34-099,HARV,18N,728130.7904,4705927.059,QURU,273.6,26.37,70,-3.4,-28.7,2,49.9,-72.2248732273918,42.4720992641017
A34-100,HARV,18N,728130.7904,4705927.059,QURU,273.6,21.85,74,-3,-29.8,2,49.8,-72.2248732273918,42.4720992641017
A34-101,HARV,18N,728130.7904,4705927.059,QURU,273.6,23.05,74,-3.6,-28.4,2,49.8,-72.2248732273918,42.4720992641017
A34-102,HARV,18N,728130.7904,4705927.059,QURU,273.6,23.25,81,-3.4,-28.1,2.2,52.6,-72.2248732273918,42.4720992641017
