individualID,domainID,taxonID,subsample1Height,scientificName,elevation,siteID,decimalLatitude,decimalLongitude,leafMassPerArea,dryMassFraction,ligninPercent,cellulosePercent,foliarPhosphorusConc,foliarPotassiumConc,foliarCalciumConc,extractChlAConc,extractChlBConc,extractCarotConc,foliarMagnesiumConc,foliarSulfurConc,foliarManganeseConc,foliarIronConc,foliarCopperConc,foliarBoronConc,foliarZincConc,nitrogenPercent,carbonPercent
NEON.PLA.D07.ORNL.01581,D07,ACRU,4.6,Acer rubrum L.,244.6,ORNL,35.93025,-84.27011,69.6,0.464,11.06,11.01,0.091,0.566,0.279,7.8,2.43,2.38,0.142,0.094,1791.1,37.6,12,14,13,1.6,49.47
NEON.PLA.D07.ORNL.01860,D07,LIST2,15.6,Liquidambar styraciflua L.,283.6,ORNL,35.938232,-84.323686,58.8,0.319,23.24,20.89,0.115,0.949,0.593,6.23,1.68,1.52,0.263,0.126,1463.7,46.5,10.2,16.6,33.4,1.89,48.02
NEON.PLA.D07.ORNL.01875,D07,LITU,17.7,Liriodendron tulipifera L.,283.6,ORNL,35.938232,-84.323686,43.5,0.249,18.35,22.01,0.149,2.566,0.583,7,1.97,1.74,0.313,0.106,475.8,51.3,11.4,25.6,14.6,2.25,47.21
NEON.PLA.D07.ORNL.01907,D07,LIST2,21,Liquidambar styraciflua L.,283.6,ORNL,35.938232,-84.323686,62,0.314,16.77,18.49,0.113,1.371,0.51,7.5,2.03,1.92,0.259,0.102,1313.8,36.2,9.9,17.2,31.6,1.77,49.43
NEON.PLA.D07.ORNL.02477,D07,LITU,14.8,Liriodendron tulipifera L.,268.4,ORNL,35.92537,-84.329757,99.1,0.458,17.25,20.25,0.14,1.492,1.135,7.96,2.03,2.49,0.183,0.101,191.4,61,7.9,15.1,14.1,1.81,47.48
NEON.PLA.D07.ORNL.02487,D07,ACRU,22.9,Acer rubrum L.,268.4,ORNL,35.92537,-84.329757,88.7,0.74,13.14,12.98,0.128,0.9490000000000001,0.6285000000000001,6.75,1.93,2.12,0.1825,0.08549999999999999,720.1,57.55,5.25,21.950000000000003,27.85,1.7,48.28
NEON.PLA.D07.ORNL.02562,D07,JUVI,10.3,Juniperus virginiana L.,245.6,ORNL,35.916311,-84.26328,222.7,0.39,19.23,15.54,0.116,0.904,0.919,4.95,1.32,1.44,0.244,0.085,464.6,75.2,3,19,9.3,1.13,50.52
NEON.PLA.D07.ORNL.02647,D07,JUVI,9.8,Juniperus virginiana L.,245.6,ORNL,35.916311,-84.26328,186.6,0.305,20.42,15.65,0.111,0.538,0.825,2.91,0.73,0.87,0.214,0.079,380,50,2.9,18.6,11.5,1.09,50.34
NEON.PLA.D07.ORNL.02648,D07,JUVI,13.2,Juniperus virginiana L.,245.6,ORNL,35.916311,-84.26328,206.3,0.36,18.88,15.96,0.105,0.716,1.095,4.21,1.2,1.31,0.289,0.103,716.9,73.3,3.1,17.6,11.9,1.2,49.55
NEON.PLA.D07.ORNL.04078,D07,NYSY,12.4,Nyssa sylvatica Marshall,316.8,ORNL,35.964793,-84.278889,83.9,0.578,7.61,13.19,0.113,1.015,0.428,4.66,1.48,1.21,0.403,0.098,963.9,83.4,4.4,27.4,8.8,1.8,46.74
NEON.PLA.D07.ORNL.04841,D07,NYSY,15.8,Nyssa sylvatica Marshall,338.8,ORNL,35.964422,-84.285887,62.5,0.536,7.87,15.84,0.099,1.163,0.44,4.59,1.67,1.23,0.345,0.111,1034.5,49.8,4.6,17.6,10.4,1.59,46.165
NEON.PLA.D07.ORNL.08004Z,D07,QUAL,22.3,Quercus alba L.,262,ORNL,35.965869,-84.23064,78,0.384,9.61,14.1,0.121,0.006,0.034,5.23,1.22,1.54,0.002,0.098,927.1,55.5,6.8,16.3,12.2,1.88,47.35
NEON.PLA.D07.ORNL.08005Z,D07,QUMO4,22,Quercus montana Willd.,322.5,ORNL,35.963923,-84.287231,111.4,0.568,15.055,15.945,0.105,0.852,0.424,5.99,1.34,1.74,0.182,0.076,2100,42.5,5.5,23.4,7.8,1.89,48.57
NEON.PLA.D07.ORNL.08006Z,D07,QUMO4,20.4,Quercus montana Willd.,322.5,ORNL,35.963923,-84.287231,96.5,0.757,22.05,18.25,0.098,0.974,0.414,8.4,2.07,2.05,0.142,0.088,2679.7,46.9,5.1,24.7,8.7,1.78,48.99
NEON.PLA.D07.ORNL.09278,D07,LITU,26.7,Liriodendron tulipifera L.,316.6,ORNL,35.965253,-84.286857,71.9,0.376,16.63,14.67,0.173,1.592,0.506,9.67,2.75,2.39,0.231,0.118,874.3,94,9.9,26.3,11.9,2.48,48.82
NEON.PLA.D07.ORNL.09388,D07,LIST2,21.6,Liquidambar styraciflua L.,316.6,ORNL,35.965253,-84.286857,84.9,0.513,19.91,16.32,0.122,0.836,0.677,3.63,0.8,1.02,0.327,0.093,2482.2,56.2,7.3,19.8,40.7,1.56,47.61
NEON.PLA.D07.ORNL.09396,D07,QURU,27,Quercus rubra L.,316.6,ORNL,35.965253,-84.286857,95.6,0.482,28.88,14.12,0.119,1.105,0.399,7.22,2.03,1.65,0.231,0.095,2499.1,58.5,5.6,31.3,18.5,2.18,49.69
NEON.PLA.D08.LENO.00016,D08,CACA18,6.2,Carpinus caroliniana Walter,10.9,LENO,31.806907,-88.19388,58.7,0.47,6.05,16.45,0.144,0.536,0.806,5.03,1.78,2.25,0.174,0.042,1397.5,43.6,7,17.4,26.1,1.68,46.74
