individualID,domainID,taxonID,subsample1Height,scientificName,elevation,siteID,decimalLatitude,decimalLongitude,leafMassPerArea,ligninPercent,cellulosePercent,foliarPhosphorusConc,foliarPotassiumConc,foliarCalciumConc,extractChlAConc,extractChlBConc,extractCarotConc,foliarMagnesiumConc,foliarSulfurConc,foliarManganeseConc,foliarIronConc,foliarCopperConc,foliarBoronConc,foliarZincConc,nitrogenPercent,carbonPercent
NEON.PLA.D07.ORNL.00994,D07,QUAL,21,Quercus alba L.,296.1,ORNL,35.907947,-84.275213,67.8,9.83,15.32,0.125,0.881,0.361,4.47,1.16,1.3,0.171,0.094,2411,71.4,6.8,20.1,11.6,1.83,48.01
NEON.PLA.D07.ORNL.00997,D07,QUAL,19.4,Quercus alba L.,296.1,ORNL,35.907947,-84.275213,70.3,10.31,18.42,0.126,1.269,0.483,5.8,1.51,1.71,0.232,0.103,3383.9,64,6.8,21.1,11.1,1.58,46.77
NEON.PLA.D07.ORNL.01158,D07,QUAL,23.3,Quercus alba L.,322.5,ORNL,35.932762,-84.332542,79.5,11.9,16.95,0.111,0.718,0.432,5.16,1.37,1.46,0.144,0.082,2016.4,55.5,6.7,17.9,9.1,1.76,48.07
NEON.PLA.D07.ORNL.01181,D07,LITU,19.8,Liriodendron tulipifera L.,322.5,ORNL,35.932762,-84.332542,48.7,20.43,22.28,0.147,2.137,0.615,9.83,2.83,2.47,0.286,0.122,626.3,55.5,11.6,26.9,10.9,2.34,47.94
NEON.PLA.D07.ORNL.01198,D07,ACRU,17,Acer rubrum L.,322.5,ORNL,35.932762,-84.332542,73.9,12.76,14.64,0.119,0.734,0.39,7.32,2.18,2.1,0.158,0.093,1295.4,85.3,7.2,18.8,26.2,2.13,48.88
NEON.PLA.D07.ORNL.01527,D07,NYSY,4.8,Nyssa sylvatica Marshall,316.4,ORNL,35.974463,-84.22799,85.6,4.33,10.79,0.112,0.955,0.299,2.85,0.75,1,0.165,0.106,967.7,31.3,4.6,23.9,8.5,1.3,46.28
NEON.PLA.D07.ORNL.01544,D07,NYSY,16.5,Nyssa sylvatica Marshall,316.4,ORNL,35.974463,-84.22799,85.5,4.52,11.86,0.104,0.809,0.38,3.72,1.2,1.07,0.353,0.119,984.2,51.4,4.1,16.7,7.8,1.6,46.85
NEON.PLA.D07.ORNL.01558,D07,PINUS,15.3,Pinus sp.,244.6,ORNL,35.93025,-84.27011,204.2,16.52,17.71,0.0925,0.688,0.13,1.9,0.65,0.7,0.0895,0.062,1084.1,48.05,3.55,12.15,29.599999999999998,0.81,50.66
NEON.PLA.D07.ORNL.01563,D07,PINUS,23,Pinus sp.,244.6,ORNL,35.93025,-84.27011,242.6,16.79,17.85,0.124,0.965,0.578,3.63,0.94,0.97,0.275,0.128,1520.1,59.7,10.7,19.1,33.6,0.99,51.13
NEON.PLA.D07.ORNL.01581,D07,ACRU,4.6,Acer rubrum L.,244.6,ORNL,35.93025,-84.27011,69.6,11.06,11.01,0.091,0.566,0.279,7.8,2.43,2.38,0.142,0.094,1791.1,37.6,12,14,13,1.6,49.47
NEON.PLA.D07.ORNL.01860,D07,LIST2,15.6,Liquidambar styraciflua L.,283.6,ORNL,35.938232,-84.323686,58.8,23.24,20.89,0.115,0.949,0.593,6.23,1.68,1.52,0.263,0.126,1463.7,46.5,10.2,16.6,33.4,1.89,48.02
NEON.PLA.D07.ORNL.01875,D07,LITU,17.7,Liriodendron tulipifera L.,283.6,ORNL,35.938232,-84.323686,43.5,18.35,22.01,0.149,2.566,0.583,7,1.97,1.74,0.313,0.106,475.8,51.3,11.4,25.6,14.6,2.25,47.21
NEON.PLA.D07.ORNL.01907,D07,LIST2,21,Liquidambar styraciflua L.,283.6,ORNL,35.938232,-84.323686,62,16.77,18.49,0.113,1.371,0.51,7.5,2.03,1.92,0.259,0.102,1313.8,36.2,9.9,17.2,31.6,1.77,49.43
NEON.PLA.D07.ORNL.02477,D07,LITU,14.8,Liriodendron tulipifera L.,268.4,ORNL,35.92537,-84.329757,99.1,17.25,20.25,0.14,1.492,1.135,7.96,2.03,2.49,0.183,0.101,191.4,61,7.9,15.1,14.1,1.81,47.48
NEON.PLA.D07.ORNL.02487,D07,ACRU,22.9,Acer rubrum L.,268.4,ORNL,35.92537,-84.329757,88.7,13.14,12.98,0.128,0.9490000000000001,0.6285000000000001,6.75,1.93,2.12,0.1825,0.08549999999999999,720.1,57.55,5.25,21.950000000000003,27.85,1.7,48.28
NEON.PLA.D07.ORNL.02493,D07,JUVI,12.7,Juniperus virginiana L.,268.4,ORNL,35.92537,-84.329757,178.6,20.52,15.21,0.115,0.782,1.487,4.28,1.37,1.31,0.233,0.077,851,76.1,3,18.6,10.1,1.18,48.61
NEON.PLA.D07.ORNL.02562,D07,JUVI,10.3,Juniperus virginiana L.,245.6,ORNL,35.916311,-84.26328,222.7,19.23,15.54,0.116,0.904,0.919,4.95,1.32,1.44,0.244,0.085,464.6,75.2,3,19,9.3,1.13,50.52
NEON.PLA.D07.ORNL.02647,D07,JUVI,9.8,Juniperus virginiana L.,245.6,ORNL,35.916311,-84.26328,186.6,20.42,15.65,0.111,0.538,0.825,2.91,0.73,0.87,0.214,0.079,380,50,2.9,18.6,11.5,1.09,50.34
NEON.PLA.D07.ORNL.02648,D07,JUVI,13.2,Juniperus virginiana L.,245.6,ORNL,35.916311,-84.26328,206.3,18.88,15.96,0.105,0.716,1.095,4.21,1.2,1.31,0.289,0.103,716.9,73.3,3.1,17.6,11.9,1.2,49.55
NEON.PLA.D07.ORNL.04041,D07,LITU,10.9,Liriodendron tulipifera L.,316.8,ORNL,35.964793,-84.278889,61,18.36,20.37,0.146,1.669,0.908,3.58,1,1.06,0.345,0.121,415.1,80.3,12.5,24.8,15.1,2.58,47.51
NEON.PLA.D07.ORNL.04078,D07,NYSY,12.4,Nyssa sylvatica Marshall,316.8,ORNL,35.964793,-84.278889,83.9,7.61,13.19,0.113,1.015,0.428,4.66,1.48,1.21,0.403,0.098,963.9,83.4,4.4,27.4,8.8,1.8,46.74
NEON.PLA.D07.ORNL.04841,D07,NYSY,15.8,Nyssa sylvatica Marshall,338.8,ORNL,35.964422,-84.285887,62.5,7.87,15.84,0.099,1.163,0.44,4.59,1.67,1.23,0.345,0.111,1034.5,49.8,4.6,17.6,10.4,1.59,46.165
NEON.PLA.D07.ORNL.04848,D07,QURU,20.4,Quercus rubra L.,338.8,ORNL,35.964422,-84.285887,100.2,28.24,16.28,0.124,1.145,0.388,8.61,2.54,2.16,0.214,0.094,2500.7,63.7,5.1,41.3,21.7,1.96,49.06
NEON.PLA.D07.ORNL.04906,D07,ACRU,18.2,Acer rubrum L.,338.8,ORNL,35.964422,-84.285887,80.3,9.84,12.49,0.149,0.607,0.458,9.46,3.03,2.71,0.184,0.088,1383.2,46.4,6.3,14.7,13.9,1.68,48.22
NEON.PLA.D07.ORNL.08004Z,D07,QUAL,22.3,Quercus alba L.,262,ORNL,35.965869,-84.23064,78,9.61,14.1,0.121,0.006,0.034,5.23,1.22,1.54,0.002,0.098,927.1,55.5,6.8,16.3,12.2,1.88,47.35
NEON.PLA.D07.ORNL.08005Z,D07,QUMO4,22,Quercus montana Willd.,322.5,ORNL,35.963923,-84.287231,111.4,15.055,15.945,0.105,0.852,0.424,5.99,1.34,1.74,0.182,0.076,2100,42.5,5.5,23.4,7.8,1.89,48.57
NEON.PLA.D07.ORNL.08006Z,D07,QUMO4,20.4,Quercus montana Willd.,322.5,ORNL,35.963923,-84.287231,96.5,22.05,18.25,0.098,0.974,0.414,8.4,2.07,2.05,0.142,0.088,2679.7,46.9,5.1,24.7,8.7,1.78,48.99
NEON.PLA.D07.ORNL.09278,D07,LITU,26.7,Liriodendron tulipifera L.,316.6,ORNL,35.965253,-84.286857,71.9,16.63,14.67,0.173,1.592,0.506,9.67,2.75,2.39,0.231,0.118,874.3,94,9.9,26.3,11.9,2.48,48.82
NEON.PLA.D07.ORNL.09388,D07,LIST2,21.6,Liquidambar styraciflua L.,316.6,ORNL,35.965253,-84.286857,84.9,19.91,16.32,0.122,0.836,0.677,3.63,0.8,1.02,0.327,0.093,2482.2,56.2,7.3,19.8,40.7,1.56,47.61
NEON.PLA.D07.ORNL.09396,D07,QURU,27,Quercus rubra L.,316.6,ORNL,35.965253,-84.286857,95.6,28.88,14.12,0.119,1.105,0.399,7.22,2.03,1.65,0.231,0.095,2499.1,58.5,5.6,31.3,18.5,2.18,49.69
NEON.PLA.D08.LENO.00016,D08,CACA18,6.2,Carpinus caroliniana Walter,10.9,LENO,31.806907,-88.19388,58.7,6.05,16.45,0.144,0.536,0.806,5.03,1.78,2.25,0.174,0.042,1397.5,43.6,7,17.4,26.1,1.68,46.74
NEON.PLA.D08.LENO.00025,D08,QUPH,25.4,Quercus phellos L.,10.9,LENO,31.806907,-88.19388,92.9,27.66,20.08,0.135,0.682,0.352,5.51,1.32,1.91,0.134,0.046,1337.2,31.7,5,15.8,24.9,1.89,49.85
NEON.PLA.D08.LENO.00065,D08,QUPA5,26.2,Quercus pagoda Raf.,10.3,LENO,31.808316,-88.188214,84,26.25,23.62,0.154,0.759,0.344,6.58,1.53,1.83,0.088,0.051,1769.1,34.5,6,22.1,25.3,2,49.42
NEON.PLA.D08.LENO.00079,D08,QUPA5,18.6,Quercus pagoda Raf.,10.3,LENO,31.808316,-88.188214,86.1,26.240000000000002,23,0.143,0.878,0.71,7.75,2.1,2.03,0.197,0.037,2288.7,89.7,9.9,14.1,35.2,1.66,48.98
NEON.PLA.D08.LENO.00178,D08,PLOC,22.5,Platanus occidentalis L.,13.3,LENO,31.827863,-88.181486,58.7,26.56,20.78,0.237,1.024,0.828,8.73,2.31,1.96,0.18,0.071,47,75.3,11.1,28.6,21.2,1.83,49.66
NEON.PLA.D08.LENO.00190,D08,PLOC,18.6,Platanus occidentalis L.,13.3,LENO,31.827863,-88.181486,48,28.61,22.66,0.251,0.8775,0.99,11.04,2.57,2.49,0.177,0.0725,52.099999999999994,68.7,10.600000000000001,36.349999999999994,28.25,1.91,49.01
NEON.PLA.D08.LENO.00240,D08,QUPH,17,Quercus phellos L.,16.7,LENO,31.825951,-88.183041,67,22.74,25.87,0.137,0.661,0.588,8.92,2.22,2.33,0.151,0.045,1217.7,111.6,6,19.8,23.7,1.96,50.36
NEON.PLA.D08.LENO.00256,D08,CELA,8.6,Celtis laevigata Willd.,16.7,LENO,31.825951,-88.183041,43,12.7,16.04,0.272,1.579,4.095,13.3,3.52,3.57,0.386,0.051,159.3,76.3,12.7,21.5,25.2,2.82,43
NEON.PLA.D08.LENO.00305,D08,CACA18,5.4,Carpinus caroliniana Walter,12.4,LENO,31.821088,-88.182303,39.3,5.64,16.98,0.174,0.92,1.32,9.03,3.05,2.38,0.185,0.044,816.9,48.1,8.8,29.1,26.7,1.99,46.5
NEON.PLA.D08.LENO.00621,D08,CACA18,2.3,Carpinus caroliniana Walter,10.8,LENO,31.808121,-88.179966,36.9,5.1,19.35,0.1605,0.599,1.258,8,2.99,2.31,0.251,0.0485,995.0999999999999,49.1,8.55,51.1,32,2.12,47.32
NEON.PLA.D08.LENO.00631,D08,QUNI,23.7,Quercus nigra L.,10.8,LENO,31.808121,-88.179966,108.1,24.66,22.05,0.144,0.743,0.571,9.29,2.43,2.29,0.144,0.054,987.7,39.2,6.1,9.2,37.3,1.98,50.37
NEON.PLA.D08.LENO.00647,D08,QUMI,20.4,Quercus michauxii Nutt.,11.6,LENO,31.814261,-88.18736,83.9,18.52,20.605,0.23,1.166,0.841,8,1.6,2.53,0.192,0.05,1298.2,46.3,8.7,25.8,33,2.34,50
NEON.PLA.D08.LENO.00652,D08,QUMI,20.9,Quercus michauxii Nutt.,11.6,LENO,31.814261,-88.18736,60.8,18.54,20.76,0.213,0.956,0.584,10.42,2.68,2.83,0.133,0.046,1267.9,34.6,10,20.2,33,2.24,49.35
NEON.PLA.D08.LENO.00667,D08,QUPA5,29.8,Quercus pagoda Raf.,11.6,LENO,31.814261,-88.18736,91.2,26.09,23.46,0.144,0.897,0.367,9.11,2.01,2.44,0.121,0.042,1329.8,40.2,7.1,15.1,34.7,1.95,49.91
NEON.PLA.D08.LENO.00752,D08,QULA3,11.6,Quercus laurifolia Michx.,13.8,LENO,31.812513,-88.202235,66.1,13.82,20.48,0.135,0.624,0.492,8.14,2.05,2.04,0.149,0.045,1276.1,52.4,8.6,14.8,21.7,1.82,49.78
NEON.PLA.D08.LENO.00773,D08,QULA3,18.3,Quercus laurifolia Michx.,13.8,LENO,31.812513,-88.202235,165,19.04,24.77,0.114,0.475,0.491,6.44,1.44,1.74,0.131,0.034,1482.9,51.3,6,16.8,29.2,1.53,50.185
NEON.PLA.D08.LENO.00799,D08,LIST2,7.2,Liquidambar styraciflua L.,13.8,LENO,31.812513,-88.202235,48.3,25.38,22.44,0.219,0.735,0.552,6.09,1.35,1.61,0.216,0.065,845.2,47.9,7.6,12.7,33.2,2.45,50.3
NEON.PLA.D08.LENO.00977,D08,FRPE,10,Fraxinus pennsylvanica Marshall,12.8,LENO,31.824646,-88.177622,42.5,22.31,19.76,0.401,1.517,0.701,14.72,4.41,3.81,0.214,0.09,52.4,114.3,16.9,21,31.7,2.94,47.28
NEON.PLA.D08.LENO.01186Z,D08,ULAM,12.5,Ulmus americana L.,10.8,LENO,31.808121,-88.179966,53.9,17.630000000000003,19.270000000000003,0.285,1.606,1.398,15.98,5.55,3.4,0.245,0.048,106.3,50.5,5.5,37.9,16.1,2.22,44.91
NEON.PLA.D08.LENO.01187Z,D08,PLOC,10.2,Platanus occidentalis L.,12.8,LENO,31.824646,-88.177622,62,29.12,21.24,0.268,1.171,0.543,8.8,2.64,1.91,0.152,0.061,112,67.8,7.7,12.7,24.6,2,49.26
NEON.PLA.D08.LENO.01188Z,D08,FRPE,4.8,Fraxinus pennsylvanica Marshall,12.8,LENO,31.824646,-88.177622,2.1,24.27,19.94,0.316,1.574,0.837,16,4.61,4.23,0.265,0.097,52,71.8,13.3,11.7,30.8,2.78,47.64
NEON.PLA.D08.LENO.01189Z,D08,CACA18,6.4,Carpinus caroliniana Walter,13.7,LENO,31.857548,-88.163273,63.7,6.57,16.72,0.167,0.562,1.138,9.48,3.34,2.17,0.174,0.049,1402,57.3,11.5,27.1,22.4,1.8,44.84
NEON.PLA.D08.LENO.01190Z,D08,FRPE,6.8,Fraxinus pennsylvanica Marshall,11.3,LENO,31.857053,-88.161742,35.3,23.02,28.26,0.32,1.624,1.209,21.36,6.71,5.39,0.197,0.093,35.9,75.6,18,25.2,20.4,2.35,47.29
NEON.PLA.D08.LENO.01191Z,D08,ULAM,8.1,Ulmus americana L.,11.3,LENO,31.857053,-88.161742,41.9,15.65,19.53,0.302,1.5,1.336,18.84,6.5,3.62,0.331,0.057,137.1,65.5,8.9,33.1,24.4,2.57,44.86
NEON.PLA.D08.LENO.01202,D08,QUPA5,25.4,Quercus pagoda Raf.,15.4,LENO,31.811628,-88.181313,83.6,24.34,22.61,0.165,1.036,0.656,7.29,1.55,2,0.139,0.053,1394.7,45.5,9.3,19,35.5,2.15,50.24
NEON.PLA.D08.LENO.01203Z,D08,QUPH,19,Quercus phellos L.,12.4,LENO,31.821088,-88.182303,74.6,22.64,19.27,0.168,0.801,0.497,9.03,2.17,2.47,0.148,0.052,1361.3,40.3,7.9,22.2,28.7,2.22,48.86
NEON.PLA.D08.LENO.01206,D08,CACA18,10.4,Carpinus caroliniana Walter,15.4,LENO,31.811628,-88.181313,54.9,6.69,19.28,0.181,0.802,1.345,9.28,2.91,2.35,0.168,0.047,1016.9,44.5,11.1,22.8,37.3,2.18,47.28
NEON.PLA.D08.LENO.08425,D08,QUNI,19.5,Quercus nigra L.,12.4,LENO,31.854294,-88.160718,68.2,21.33,26.67,0.168,0.817,0.667,11,3.02,2.45,0.169,0.05,705.3,37.1,7.2,20.2,37,1.9249999999999998,49.614999999999995
