individualID,domainID,taxonID,subsample1Height,scientificName,elevation,siteID,decimalLatitude,decimalLongitude,leafMassPerArea,ligninPercent,cellulosePercent,foliarPhosphorusConc,foliarPotassiumConc,foliarCalciumConc,extractChlAConc,extractChlBConc,extractCarotConc,foliarMagnesiumConc,foliarSulfurConc,foliarManganeseConc,foliarIronConc,foliarCopperConc,foliarBoronConc,foliarZincConc,nitrogenPercent,carbonPercent,eventID,plotID,nestedSubplotID,pointID,stemDistance,stemAzimuth,supportingStemIndividualID,subtype,latitude,longitude,datum,utmZone,easting,northing,horzUncert,crdSource,vertUncert,nlcdClass,appMods,geometry,UTM_E,UTM_N,stemDiameter,height,maxCrownDiameter,ninetyCrownDiameter,growthForm,plantStatus,canopyPosition,shape,crown_size
NEON.PLA.D08.TALL.01834,D08,LIST2,23.9,Liquidambar styraciflua L.,97.8,TALL,32.898843,-87.446128,90.9,23.35,25.97,0.118,0.81,0.463,4.62,1.09,1.35,0.245,0.117,1079.4,41,8.4,11.9,27.6,1.57,49.75,vst_TALL_2014,TALL_006,NaN,41,5,33,NA,basePlot,32.898843,-87.446128,WGS84,16N,458276.923,3640160.944,0.26,GeoXH 6000,0.39,evergreenForest,bgc|cdw|cfc|dhp|hbp|sme|vst,"c(-87.4461279081115, 32.8988425866552)",458279.64619517507,3640165.13735284,34.29999999999999,18.999999999999996,6.599999999999999,5.2,single bole tree,Live,Full sun,NA,measured
NEON.PLA.D08.TALL.01903,D08,PIPA2,22.8,Pinus palustris Mill.,117.9,TALL,32.950148,-87.397284,220.1,17.41,27.03,0.077,0.531,0.14,2.48,0.43,0.8,0.091,0.087,542.9,61.8,3.2,10,35.9,0.88,48.73,vst_TALL_2015,TALL_051,NaN,39,17.6,35.4,NA,basePlot,32.950148,-87.397506,WGS84,16N,462845.67,3645830.457,0.15,GeoXH 6000,0.22,mixedForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,"c(-87.3975058318241, 32.9501478767874)",462855.8653486332,3645844.8032492045,55.424999999999976,27.8,8.487774730657996,6.432323598943883,single bole tree,Live,NA,NA,height
NEON.PLA.D08.TALL.01905,D08,NYSY,20,Nyssa sylvatica Marshall,98.6,TALL,32.977667,-87.432716,90.4,9.67,17.44,0.101,0.798,0.424,2.15,0.82,0.72,0.385,0.118,511.4,56.1,7.1,16.7,26.4,1.25,49.38,vst_TALL_2014,TALL_001,NaN,41,9.9,17.1,NA,basePlot,32.977667,-87.432716,WGS84,16N,459567.111,3648894.221,0.28,GeoXH 6000,0.35,deciduousForest,bgc|cdw|cfc|dhp|hbp|sme|vst,"c(-87.4327162629851, 32.977667035799)",459570.0219992198,3648903.6833508466,39.29999999999999,22.499999999999996,10.199999999999998,6.499999999999999,single bole tree,Live,Partially shaded,NA,measured
NEON.PLA.D08.TALL.01906,D08,PITA,19.4,Pinus taeda L.,117.9,TALL,32.950148,-87.397284,250.4,16.03,20.75,0.102,0.593,0.224,4.45,1.07,1.21,0.124,0.077,906.4,67.6,3.1,11.5,51.1,1.09,49.56,vst_TALL_2015,TALL_051,NaN,39,14.9,62.4,NA,basePlot,32.950148,-87.397506,WGS84,16N,462845.67,3645830.457,0.15,GeoXH 6000,0.22,mixedForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,"c(-87.3975058318241, 32.9501478767874)",462858.87443333055,3645837.360110923,84.375,29.35,7.660912110371891,6.526824587242142,single bole tree,Live,NA,NA,height
NEON.PLA.D08.TALL.01918,D08,QUAL,13.3,Quercus alba L.,117.9,TALL,32.950148,-87.397284,47.3,19.81,21.89,0.128,0.847,0.434,3.83,0.73,1.22,0.16,0.102,1470.8,58.1,7.6,18.3,27,1.79,48.43,vst_TALL_2015,TALL_051,NaN,39,13.2,171.4,NA,basePlot,32.950148,-87.397506,WGS84,16N,462845.67,3645830.457,0.15,GeoXH 6000,0.22,mixedForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,"c(-87.3975058318241, 32.9501478767874)",462847.6438665334,3645817.40541577,40.02499999999999,21.349999999999998,9.13625456401454,6.931581729511138,single bole tree,"Live, insect damaged",NA,NA,height
NEON.PLA.D08.TALL.02017,D08,PIPA2,16.7,Pinus palustris Mill.,117.6,TALL,32.884749,-87.454396,332.5,19.665,27.1,0.062,0.588,0.14,3.71,0.98,1.23,0.102,0.067,845.7,43.1,2.7,6.1,43,0.665,49.255,vst_TALL_2014,TALL_013,NaN,41,2.2,278,NA,basePlot,32.884749,-87.454396,WGS84,16N,457496.959,3638601.812,0.13,GeoXH 6000,0.16,evergreenForest,cdw|cfc|dhp|hbp|vst,"c(-87.4543957223297, 32.8847487926385)",457494.7804102487,3638602.118180822,45.1,19.699999999999996,10.9,7.400000000000001,single bole tree,Live,Partially shaded,NA,measured
NEON.PLA.D08.TALL.02026,D08,PIPA2,19.3,Pinus palustris Mill.,117.6,TALL,32.884749,-87.454396,328.2,20.43,24.31,0.073,0.409,0.132,4.55,1.06,1.5,0.085,0.082,864.9,45.7,3,7.1,45,0.86,48.35,vst_TALL_2014,TALL_013,NaN,41,3.9,103.7,NA,basePlot,32.884749,-87.454396,WGS84,16N,457496.959,3638601.812,0.13,GeoXH 6000,0.16,evergreenForest,cdw|cfc|dhp|hbp|vst,"c(-87.4543957223297, 32.8847487926385)",457500.748041568,3638600.8883312303,43.099999999999994,23.400000000000002,11.8,6.800000000000001,single bole tree,Live,Partially shaded,NA,measured
NEON.PLA.D08.TALL.02111,D08,NYSY,19.3,Nyssa sylvatica Marshall,98.6,TALL,32.977667,-87.432716,62.1,7.26,17.24,0.14300000000000002,0.915,0.245,1.58,0.51,0.66,0.3215,0.11,804.1,33.099999999999994,7,12.399999999999999,20.5,1.32,47.4,vst_TALL_2014,TALL_001,NaN,41,8,251.5,NA,basePlot,32.977667,-87.432716,WGS84,16N,459567.111,3648894.221,0.28,GeoXH 6000,0.35,deciduousForest,bgc|cdw|cfc|dhp|hbp|sme|vst,"c(-87.4327162629851, 32.977667035799)",459559.52441075834,3648891.6825627484,24.599999999999998,18.400000000000002,9.400000000000002,8.100000000000001,single bole tree,Live,Partially shaded,NA,measured
NEON.PLA.D08.TALL.02155,D08,NYSY,22.9,Nyssa sylvatica Marshall,98.6,TALL,32.977667,-87.432716,123.7,7.83,14.55,0.09,0.542,0.394,3.41,1.45,1.26,0.409,0.101,833.9,40.4,7.7,18.7,18.1,1.17,48.04,vst_TALL_2014,TALL_001,NaN,51,10.2,268.3,NA,basePlot,32.977757,-87.432619,WGS84,16N,459576.226,3648904.135,0.12,GeoXH 6000,0.16,deciduousForest,bgc|cdw|cfc|dhp|hbp|sme|vst,"c(-87.4326191519394, 32.9777567995463)",459566.0304894268,3648903.83240431,39.39999999999999,21.8,7.7,5.8,single bole tree,Live,Partially shaded,NA,measured
NEON.PLA.D08.TALL.02330,D08,PIPA2,17,Pinus palustris Mill.,124.8,TALL,32.948793,-87.397268,256.65000000000003,23.34,26.09,0.093,0.737,0.1,2.69,0.53,0.89,0.056,0.114,349.9,66.6,3.3,6.9,43.4,0.89,51.46,vst_TALL_2015,TALL_054,2,39,14.3,87.9,NA,basePlot,32.948795,-87.39752,WGS84,16N,462843.817,3645680.427,0.19,GeoXH 6000,0.24,evergreenForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,"c(-87.397519599145, 32.9487945080688)",462858.10739603103,3645680.9510050346,40,17.924999999999997,6.108569303691274,4.5139187678548796,single bole tree,Live,NA,NA,height
NEON.PLA.D08.TALL.02342,D08,PIEC2,11.4,Pinus echinata Mill.,124.8,TALL,32.948793,-87.397268,236.6,22.52,19.97,0.097,0.488,0.176,1.92,0.39,0.61,0.106,0.078,534.3,67.6,3.5,12.5,29.4,0.96,48.47,vst_TALL_2016,TALL_054,3,39,3.5,97.5,NA,basePlot,32.948795,-87.39752,WGS84,16N,462843.817,3645680.427,0.19,GeoXH 6000,0.24,evergreenForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,"c(-87.397519599145, 32.9487945080688)",462847.28705701476,3645679.9701583274,16.725,13.2,5.098638677020663,3.8495684138319537,single bole tree,Live,NA,NA,height
NEON.PLA.D08.TALL.02629,D08,QUMO4,24.8,Quercus montana Willd.,113,TALL,32.921617,-87.433388,141.85000000000002,22.1,16.72,0.104,1.145,0.298,3.7,0.78,1.13,0.172,0.101,1292.2,51.8,16.9,20.6,26.6,1.75,51.2,vst_TALL_2014,TALL_008,NaN,41,7.5,211.5,NA,basePlot,32.921617,-87.433388,WGS84,16N,459478.791,3642680.717,0.25,GeoXH 6000,0.3,deciduousForest,cdw|cfc|dhp|hbp|vst,"c(-87.4333878723617, 32.9216167576262)",459474.87226076465,3642674.3221987677,41.60000000000001,27.699999999999996,12.4,10.8,single bole tree,Live,Full sun,NA,measured
NEON.PLA.D08.TALL.02782,D08,QUAL,20.9,Quercus alba L.,113,TALL,32.921617,-87.433388,110.5,16.4,18.97,0.113,1.061,0.32,3.19,0.63,1.01,0.14,0.096,1448.2,68,8.8,14.7,18.1,1.605,48.209999999999994,vst_TALL_2014,TALL_008,NaN,41,4.9,73.4,NA,basePlot,32.921617,-87.433388,WGS84,16N,459478.791,3642680.717,0.25,GeoXH 6000,0.3,deciduousForest,cdw|cfc|dhp|hbp|vst,"c(-87.4333878723617, 32.9216167576262)",459483.4867806149,3642682.1168730003,48.2,29.7,13.5,13.4,single bole tree,Live,Full sun,NA,measured
NEON.PLA.D08.TALL.03295,D08,PIEC2,16.2,Pinus echinata Mill.,130.1,TALL,32.952869,-87.397604,282.1,17.87,18.72,0.092,0.543,0.305,2.9,0.67,0.84,0.1,0.077,926.7,78.5,3.2,10,55.1,0.98,49.31,vst_TALL_2015,TALL_044,3,39,12.8,23.5,NA,basePlot,32.952874,-87.397825,WGS84,16N,462817.024,3646132.798,0.21,GeoXH 6000,0.24,evergreenForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,"c(-87.397824518865, 32.9528740867913)",462822.12798808224,3646144.536368952,27.9,15.375000000000004,5.716176472016533,4.353842319638146,single bole tree,Live,NA,NA,height
NEON.PLA.D08.TALL.03408,D08,PIEC2,12.4,Pinus echinata Mill.,130.1,TALL,32.952869,-87.397604,315.2,21.37,18.7,0.102,0.695,0.18,3,0.84,0.79,0.114,0.083,542.8,61.6,3.5,10,47.3,1.11,49.64,vst_TALL_2015,TALL_044,3,39,16.4,62.9,NA,basePlot,32.952874,-87.397825,WGS84,16N,462817.024,3646132.798,0.21,GeoXH 6000,0.24,evergreenForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,"c(-87.397824518865, 32.9528740867913)",462831.6234899956,3646140.2689364785,22.625,15.249999999999998,5.681306851675475,4.325252244380688,single bole tree,Live,NA,NA,height
NEON.PLA.D08.TALL.03426,D08,LITU,13.3,Liriodendron tulipifera L.,130.1,TALL,32.952869,-87.397604,75.5,20.4,17.97,0.166,1.168,0.649,5.83,1.5,1.54,0.333,0.146,353,71.4,10.5,17,29.9,2.18,48.38,vst_TALL_2015,TALL_044,4,43,10,257.7,NA,basePlot,32.952875,-87.397366,WGS84,16N,462859.891,3646132.756,0.18,GeoXH 6000,0.28,evergreenForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,"c(-87.3973658882474, 32.9528751675099)",462850.12054425565,3646130.625696137,27.374999999999996,15.349999999999998,6.251895912770384,4.861236532282811,single bole tree,Live,NA,NA,height
NEON.PLA.D13.MOAB.00396,D13,ARTR2,1.3,Artemisia tridentata Nutt.,1996.4,MOAB,38.265495,-109.34184,148.8,13.76,17.84,0.314,0.197,0.348,4.65,1.36,1.6,0.438,0.173,56,61.1,8,57.5,35.4,1.99,51.05,vst_MOAB_2015,MOAB_007,4,31,10.5,46,NA,basePlot,38.265403,-109.341955,WGS84,12N,645050.449,4236562.718,0.1,Geo 7X (H-Star),0.1,shrubScrub,cdw|cfc|dhp|hbp|vst,"c(-109.341955416596, 38.26540336466)",645058.0020679035,4236570.01191289,NaN,1.3,2.3,2.2,small shrub,Live,NA,half-sphere,measured
NEON.PLA.D13.MOAB.00398,D13,ARTR2,0.8,Artemisia tridentata Nutt.,1996.4,MOAB,38.265495,-109.34184,159.1,12.91,18.08,0.334,1.287,0.374,4.24,1.3,1.34,0.202,0.165,44.7,78.3,4.1,56.4,21,1.62,49.77,vst_MOAB_2015,MOAB_007,2,33,3.6,321.5,NA,basePlot,38.265404,-109.341728,WGS84,12N,645070.322,4236563.165,0.1,Geo 7X (H-Star),0.1,shrubScrub,cdw|cfc|dhp|hbp|vst,"c(-109.341728248383, 38.2654041819142)",645068.0809473081,4236565.982389364,NaN,0.8,1.7,1.3,small shrub,Live,NA,half-sphere,measured
NEON.PLA.D13.MOAB.00503,D13,ARTR2,0.5,Artemisia tridentata Nutt.,1996.4,MOAB,38.265495,-109.34184,182.1,11.94,19.6,0.301,1.081,0.432,3.94,1.19,1.28,0.169,0.17,39.7,61.9,4.6,71.9,25.9,1.56,50.48,vst_MOAB_2015,MOAB_007,4,33,8.6,342,NA,basePlot,38.265404,-109.341728,WGS84,12N,645070.322,4236563.165,0.1,Geo 7X (H-Star),0.1,shrubScrub,cdw|cfc|dhp|hbp|vst,"c(-109.341728248383, 38.2654041819142)",645067.6644538484,4236571.34408604,NaN,1,2.3,1.8,small shrub,Live,NA,half-sphere,measured
NEON.PLA.D13.MOAB.00518,D13,PIED,3.5,Pinus edulis Engelm.,2018.6,MOAB,38.26229,-109.344633,302.5,20.52,19.77,0.093,0.4455,0.478,2.01,0.7,1.04,0.1915,0.0755,17.25,47.7,1.55,22.1,10.7,0.82,51.07,vst_MOAB_2015,MOAB_024,NaN,31,6.2,12.1,NA,basePlot,38.262203,-109.344745,WGS84,12N,644812.794,4236203.189,0.22,GeoXH 6000,0.27,evergreenForest,cdw|cfc|dhp|hbp|vst,"c(-109.344744476624, 38.2622028162312)",644814.09363509,4236209.251256068,22.8,4,4.25,3.1,single bole tree,Live,Partially shaded,NA,measured
NEON.PLA.D13.MOAB.00631,D13,PIED,2.9,Pinus edulis Engelm.,2006.8,MOAB,38.261287,-109.349483,323.4,18.15,22.17,0.094,0.768,3.374,3.22,0.97,1.31,0.48,0.1,63.6,143.8,5.1,20.2,23.2,0.99,50.52,vst_MOAB_2015,MOAB_003,4,31,7,64.3,NA,basePlot,38.261195,-109.349596,WGS84,12N,644390.293,4236083.757,0.1,Geo 7X (H-Star),0.1,evergreenForest,bgc|cdw|cfc|dhp|hbp|sme|vst,"c(-109.34959628955, 38.2611948969243)",644396.6005391493,4236086.792613592,23.400000000000002,3.0000000000000004,6,3.8999999999999995,multi-bole tree,"Live, disease damaged",Full sun,NA,measured
NEON.PLA.D13.MOAB.00656,D13,PIED,3.2,Pinus edulis Engelm.,2006.8,MOAB,38.261287,-109.349483,360.3,23.54,21.98,0.093,0.605,0.314,6.05,2.28,2.7,0.116,0.092,9.3,46.2,2.2,20.2,16.8,0.95,51.28,vst_MOAB_2015,MOAB_003,NaN,33,6.4,298.4,NA,basePlot,38.261195,-109.349369,WGS84,12N,644410.203,4236084.1,0.1,GeoXH 6000,0.1,evergreenForest,bgc|cdw|cfc|dhp|hbp|sme|vst,"c(-109.349368732446, 38.2611947864203)",644404.5732491337,4236087.143994938,24.400000000000002,3.4,4.6,4.4,single bole tree,"Live, disease damaged",Full sun,NA,measured
