individualID,domainID,taxonID,subsample1Height,scientificName,elevation,siteID,decimalLatitude,decimalLongitude,leafMassPerArea,ligninPercent,cellulosePercent,foliarPhosphorusConc,foliarPotassiumConc,foliarCalciumConc,extractChlAConc,extractChlBConc,extractCarotConc,foliarMagnesiumConc,foliarSulfurConc,foliarManganeseConc,foliarIronConc,foliarCopperConc,foliarBoronConc,foliarZincConc,nitrogenPercent,carbonPercent,eventID,plotID,nestedSubplotID,pointID,stemDistance,stemAzimuth,supportingStemIndividualID,subtype,latitude,longitude,datum,utmZone,easting,northing,horzUncert,crdSource,vertUncert,nlcdClass,appMods,geometry,UTM_E,UTM_N,stemDiameter,height,maxCrownDiameter,ninetyCrownDiameter,growthForm,plantStatus,canopyPosition,shape,crown_size
NEON.PLA.D08.LENO.08852,D08,CELA,24.1,Celtis laevigata Willd.,13.7,LENO,31.857548,-88.163273,55.1,12.72,17.66,0.265,1.657,4.166,18.12,5.42,4.68,0.386,0.059,203.8,56.4,14.1,23.2,19.1,2.91,42.32,vst_LENO_2015,LENO_061,2,51,9.1,169,NA,basePlot,31.857634,-88.16317,WGS84,16N,389959.568,3525245.238,0.23,GeoXH 6000,0.35,woodyWetlands,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,"c(-88.1631701242779, 31.8576336772152)",389961.30436185794,3525236.3051926307,27.22,16.425,8.501736395842254,6.385388282173893,single bole tree,Live,Partially shaded,NA,height
NEON.PLA.D08.LENO.11697Z,D08,LIST2,21.4,Liquidambar styraciflua L.,15.4,LENO,31.811628,-88.181313,46.3,14.05,13.67,0.335,1.621,0.609,9.74,2.1,2.59,0.201,0.066,597.3,46.8,14.6,15.8,42.4,2.47,49.73,vst_LENO_2018,LENO_009,NaN,51,2.4,104.1,NA,basePlot,31.811712,-88.181177,WGS84,16N,388200.555,3520173.234,0.21,GeoXH 6000,0.27,woodyWetlands,cdw|cfc|dhp|hbp|vst,"c(-88.1811772572809, 31.8117121760898)",388202.8826928367,3520172.649323972,NaN,NaN,NaN,NaN,NA,NA,NA,NA,height
NEON.PLA.D08.LENO.11698Z,D08,QUPA5,7.8,Quercus pagoda Raf.,13.3,LENO,31.827863,-88.181486,63.3,20.92,23.14,0.198,1.012,0.67,9.71,2.63,2.24,0.164,0.053,457.7,49.1,8.6,19.1,27.6,2.48,49.65,vst_LENO_2018,LENO_005,NaN,51,7.8,354.4,NA,basePlot,31.82795,-88.181383,WGS84,16N,388200.669,3521973.352,0.14,GeoXH 6000,0.18,woodyWetlands,bgc|cdw|cfc|dhp|hbp|sme|vst,"c(-88.1813828024771, 31.827949514215)",388199.9078533819,3521981.11477372,NaN,NaN,NaN,NaN,NA,NA,NA,NA,height
NEON.PLA.D08.LENO.11699Z,D08,LIST2,10.2,Liquidambar styraciflua L.,16.7,LENO,31.825951,-88.183041,54.1,17.82,15.62,0.134,0.615,0.492,9.07,2,2.7,0.146,0.069,826.6,41.1,11.5,17.1,43.9,2.62,49.32,vst_LENO_2018,LENO_011,NaN,51,6,273,NA,basePlot,31.826039,-88.182953,WGS84,16N,388049.737,3521763.222,0.23,GeoXH 6000,0.34,woodyWetlands,cdw|cfc|dhp|hbp|vst,"c(-88.182953234394, 31.8260392981789)",388043.7452227915,3521763.5360157373,NaN,NaN,NaN,NaN,NA,NA,NA,NA,height
NEON.PLA.D08.LENO.11700Z,D08,CELA,6.5,Celtis laevigata Willd.,12.4,LENO,31.821088,-88.182303,45.6,5.86,16.06,0.268,1.204,4.634,12.58,3.42,3.87,0.482,0.051,101.8,58.8,8.8,37.4,31.5,2.625,42.185,vst_LENO_2018,LENO_004,NaN,31,5.1,272.7,NA,basePlot,31.820979,-88.182422,WGS84,16N,388093.898,3521201.766,0.3,GeoXH 6000,0.15,woodyWetlands,bgc|cdw|cfc|dhp|hbp|sme|vst,"c(-88.1824221215515, 31.820979225004)",388088.8036616377,3521202.0062428983,NaN,NaN,NaN,NaN,NA,NA,NA,NA,height
NEON.PLA.D08.LENO.14643,D08,ULAM,12.5,Ulmus americana L.,13.7,LENO,31.857548,-88.163273,62.4,17.45,19.9,0.27,1.483,1.666,13.8,4.62,3.03,0.224,0.047,122.6,55.2,5.9,39.1,14.9,2.18,44.41,vst_LENO_2016,LENO_061,1,43,10.5,270,NA,basePlot,31.857534,-88.163061,WGS84,16N,389969.736,3525234.108,0.17,GeoXH 6000,0.21,woodyWetlands,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,"c(-88.1630614030401, 31.8575342657847)",389959.236,3525234.108,21.65,16.05,9.137955680443454,6.832437610085219,single bole tree,Live,NA,NA,height
NEON.PLA.D08.TALL.00207,D08,QUAL,5.3,Quercus alba L.,105.1,TALL,32.899796,-87.406679,81,17.26,18.82,0.119,0.553,0.477,3.42,0.72,1.03,0.19,0.108,1311.5,65.6,7.3,22.5,27.2,1.68,46.97,vst_TALL_2014,TALL_009,NaN,41,5.1,66,NA,basePlot,32.899796,-87.406679,WGS84,16N,461966.706,3640251.746,0.2,GeoXH 6000,0.41,evergreenForest,cdw|cfc|dhp|hbp|vst,"c(-87.4066792029576, 32.8997961875796)",461971.36508183397,3640253.8203568794,14.600000000000001,14.299999999999999,5.3,4.8,single bole tree,Live,Partially shaded,NA,measured
NEON.PLA.D08.TALL.00213,D08,LIST2,17.8,Liquidambar styraciflua L.,135.8,TALL,32.951506,-87.398919,95.8,30.49,22.79,0.131,1.046,0.538,5.87,1.31,1.31,0.304,0.12,723.1,65.1,10.2,17.2,30.3,1.5950000000000002,48.55,vst_TALL_2015,TALL_047,NaN,23,14.2,339.5,NA,basePlot,32.951302,-87.398917,WGS84,16N,462714.27,3645958.877,0.21,GeoXH 6000,0.25,evergreenForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,"c(-87.398916824496, 32.9513017741711)",462709.2970551861,3645972.177745087,25.524999999999995,22.7,7.645238408623651,6.028767181775646,single bole tree,Live,NA,NA,height
NEON.PLA.D08.TALL.00231,D08,PITA,22.3,Pinus taeda L.,135.8,TALL,32.951506,-87.398919,277.8,22.05,24.65,0.11699999999999999,1.0545,0.139,8.19,2.1,2.22,0.096,0.0885,438.70000000000005,61.95,20.7,12.600000000000001,35.599999999999994,1.22,50.31,vst_TALL_2015,TALL_047,NaN,23,14.7,300.8,NA,basePlot,32.951302,-87.398917,WGS84,16N,462714.27,3645958.877,0.21,GeoXH 6000,0.25,evergreenForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,"c(-87.398916824496, 32.9513017741711)",462701.64328951517,3645966.4040301135,39.29999999999999,24.325,6.655035265066227,5.608954412072196,single bole tree,Live,NA,NA,height
NEON.PLA.D08.TALL.00248,D08,LITU,27.6,Liriodendron tulipifera L.,135.8,TALL,32.951506,-87.398919,70.6,15.81,17.47,0.171,1.238,1.036,4.64,1.04,1.25,0.473,0.164,459.3,61.9,10.5,22.6,21,2.33,48.39,vst_TALL_2015,TALL_047,NaN,61,27.2,226.4,NA,basePlot,32.951675,-87.398725,WGS84,16N,462732.358,3646000.145,0.21,GeoXH 6000,0.22,evergreenForest,bbc|bgc|cdw|cfc|dhp|hbp|ltr|sme|vst,"c(-87.3987249778561, 32.9516746387409)",462712.66052536893,3645981.38734841,49.52500000000001,27.099999999999998,9.572987093945576,7.690922886083014,single bole tree,Live,NA,NA,height
